; Constellation figure definitions for SkyMap Pro 8.
;
; Taken from the constellation maps from Antonín Rükl from
; "Souhvezdí", published by Artia, Prague in 1971 and from second book
; with unknown original title (spanish translated title is "Estrellas y
; Planetas") published 1988 by Artia, Prague in 1988.
;
; Prepared for SkyMap Pro 8 by Ben Siemerink in December 2001.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a Tycho catalog number, if it refers to a star, or
; 0 for a command. The catalog number has the form:
;
;   ZZZZNNNNNP
;
; where:
;   ZZZZ    Tycho zone.
;   NNNNN   Star number within the zone.
;   P       Proximity flag.
;
; Commands are:
;   0   Move to "data"
;   1   Draw from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   Start of constellation "data".  Data is constellation index.
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

3320028081 0	move to alpha
2851021681 1	draw to beta
2847015721 1	draw to rho
0000000000 2	end

; Phoenix

8032012281 0	move to beta
7547011341 1	draw to gamma
8043011791 1	draw to delta
8476013021 1	draw to zeta
8032012281 1	draw to beta
7530009781 1	draw to kappa
8022012401 1	draw to epsilon
0000000000 2	end

; Pictor

8899022021 0	move to alpha
8524012801 1	draw to gamma
8099013921 1	draw to beta
0000000000 2	end

; Pisces

2278012601 0	move to tau
1751021781 1	draw to upsilon
1747022631 1	draw to phi
1202021261 1	draw to chi
1198015971 1	draw to eta
0622005741 1	draw to omicron
0040013381 1	draw to alpha
0035004351 1	draw to nu
0034012871 1	draw to mu
0612014461 1	draw to epsilon
0604013011 1	draw to delta
0593016971 1	draw to omega
0591017441 1	draw to iota
0584015151 1	draw to theta
0584015161 1	draw to 7
0580018841 1	draw to gamma
0578014151 1	draw to kappa
0586014581 1	draw to lambda
0591017441 1	draw to iota
0580018841 0	move to gamma
0579018341 1	draw to beta
0000000000 2	end

; Pisces Austrinus

6977012671 0	move to alpha
6966015091 1	draw to epsilon
7490018391 1	draw to iota
7492014661 1	draw to mu
7497015111 1	draw to beta
7508013131 1	draw to gamma
7508013121 1	draw to delta
6977012671 1	draw to alpha
0000000000 2	end

; Puppis

6555032451 0	move to rho
6557045221 1	draw to xi
7663040931 1	draw to zeta
7655026871 1	draw to sigma
7115030191 1	draw to pi
7663040931 1	draw to zeta
7655026871 0	move to sigma
7642014611 1	draw to L
8125023141 1	draw to tau
7626022031 1	draw to nu
7642014611 1	draw to L
0000000000 2	end

; Pyxis

7144036391 0	move to beta
7141027251 1	draw to alpha
6580027811 1	draw to gamma
0000000000 2	end

; Reticulum

8870013851 0	move to beta
8869024611 1	draw to alpha
8508020411 1	draw to epsilon
8868022211 1	draw to iota
8868013181 1	draw to delta
8868021931 1	draw to gamma
8870013851 1	draw to beta
0000000000 2	end

; Sagitta

1624034141 0	move to gamma
1619035421 1	draw to delta
1606023421 1	draw to beta
1619035421 0	move to delta
1606023411 1	draw to alpha
0000000000 2	end

; Sagittarius

7943021051 0	move to beta 1
7935021391 1	draw to alpha
6885028371 1	draw to zeta
6881017771 1	draw to tau
6879024981 1	draw to psi
6880023421 1	draw to chi 1
6893021321 1	draw to 52
6899025951 1	draw to omega
6881017771 0	move to tau
6868018291 1	draw to sigma
6295024921 1	draw to omicron
6295002821 1	draw to pi
6304003341 1	draw to 43
6301024571 1	draw to rho 1
6297014191 1	draw to upsilon
6868018291 0	move to sigma
6867024281 1	draw to phi
6861031801 1	draw to lambda
6276030931 1	draw to mu
6861031801 0	move to lambda
6856021701 1	draw to delta
7401034711 1	draw to epsilon
7404070571 1	draw to eta
6856021701 0	move to delta
7391027101 1	draw to gamma
0000000000 2	end

; Scorpius

5616012941 0	move to psi
5619012571 1	draw to xi
6208016231 1	draw to beta
6779021941 1	draw to delta
6783026971 1	draw to pi
6791025091 1	draw to rho
6779021941 0	move to delta
6798005401 1	draw to sigma
6803021581 1	draw to alpha
6807010121 1	draw to tau
7367008041 1	draw to epsilon
7868018211 1	draw to mu
7876028711 1	draw to zeta
7882005691 1	draw to eta
7892076791 1	draw to theta
7889026691 1	draw to iota 1
7389021591 1	draw to G
7885020651 1	draw to kappa
7388010931 1	draw to lambda
0000000000 2	end

; Sculptor

6424022701 0	move to alpha
6988013371 1	draw to delta
7510010891 1	draw to gamma
8013013571 1	draw to beta
0000000000 2	end

; Scutum

5691013381 0	move to alpha
5122014261 1	draw to beta
6281020051 1	draw to 6281-2005-1
5702028821 1	draw to gamma
5691013381 1	draw to alpha
0000000000 2	end

; Serpens

0457006871 0	move to theta       (start of Serpens Cauda)
5102004161 1	draw to eta
5678009561 1	draw to nu Ophiuchi
6248013691 1	draw to xi
6232013331 5	dotted to eta Ophiuchi

5037010681 0	move to delta Ophiuchi (start of Serpens Caput)
5022009361 5	dotted to mu
0360012261 1	draw to epsilon
0363011351 1	draw to alpha
0933012381 1	draw to delta
1495019941 1	draw to beta
1498017891 1	draw to kappa
1496021191 1	draw to gamma
1502017821 0	move to rho
1498017891 1	draw to kappa
1498017871 1	draw to iota
0000000000 2	end

; Sextans

4912013811 0	move to beta
5475013791 1	draw to gamma
4903017501 1	draw to alpha
0000000000 2	end

; Taurus

1859014701 0	move to beta
1273011041 1	draw to epsilon
1266014161 1	draw to alpha
1310026971 1	draw to zeta
1266014161 0	move to alpha
1264010091 1	draw to gamma
0662015461 1	draw to lambda
0650014691 1	draw to xi
1264010091 0	move to gamma
1268012671 1	draw to delta 1
