/Constellations/ConstellationFigures/dhmenz11/DHMENZEL.TXT
1 5604	8297047051 1        draw to pi
1 5645	8298041841 1        draw to kappa
1 5648	8306033621 1        draw to zeta
0 5625	8293038771 0        move to lambda
1 5707	7847025051 1        draw to epsilon
1 5682	8298041821 1        draw to mu
0 5604	8297047051 0        move to pi
1 5468	8283041341 1        draw to alpha
1 5394	8277032811 1        draw to tau 2
0 5468	8283041341 0        move to alpha
1 5353	8277032771 1        draw to iota
0 5424	8286018311 0        move to sigma
1 5452	8287024751 1        draw to rho
1 5468	8283041341 1        draw to alpha
1 5570	7832024901 1        draw to beta
1 5704	7325016911 1        draw to phi 1
0 3704	2496017281 0        move to alpha
//1 2499016552	2499016552 1        draw to 38
//1 2986019781	2986019781 1        draw to unnamed
//1 2980021841	2980021841 1        draw to 31
//1 3401016481	3401016481 1        draw to 21
//1 3776024651	3776024651 1        draw to 2
0 7000	3105020701 0        move to alpha
1 7050	3122034382 1        draw to epsilon 1
1 7055	3118020801 1        draw to zeta 1
1 7105	2642029291 1        draw to beta
1 7177	2643033461 1        draw to gamma
1 7130	2650021461 1        draw to delta 1
1 7055	3118020801 1        draw to zeta 1
1 7000	3105020701 1        draw to alpha
0 2969	5414027461 0        move to alpha
1 3187	4851028781 1        draw to zeta
1 2713	4815038161 1        draw to delta
1 2355	4797018801 1        draw to beta
1 2226	4795017691 1        draw to gamma
0 2713	4815038161 0        move to delta
//1 0141024521	0141024521 1        draw to 8
//1 0158033941	0158033941 1        draw to 13
0 4922	9249023801 0        move to delta
1 4797	9228030491 1        draw to alpha
1 4772	9236029071 1        draw to gamma
0 4843	9228030471 0        move to beta
1 4797	9228030491 1        draw to alpha
1 4670	9227027051 1        draw to epsilon
1 4843	9228030471 1        draw to beta
0 5338	9509038541 0        move to delta
1 8253	9478014831 1        draw to nu
1 8629	9488010531 1        draw to beta
1 5338	9509038541  1        draw to delta
//0 6838011121	6838011121 0        move to 45
1 6452	6829005771 1        draw to theta
//1 6825004621	6825004621 1        draw to 44
1 6444	6246006641 1        draw to xi
1 6377	6232013331 1        draw to eta
1 6174	5632010421 1        draw to zeta
1 6146	6203008061 1        draw to phi
0 6174	5632010421 0        move to zeta
1 6298	0979021981 1        draw to kappa
1 6280	0979021991 1        draw to iota
1 6074	5042009991 1        draw to epsilon
0 6298	0979021981 0        move to kappa
1 6555	1000025081 1        draw to alpha
1 6602	0423017241 1        draw to beta
1 6298	0979021981 1        draw to kappa
0 6377	6232013331 0        move to eta
1 6602	0423017241 1        draw to beta
1 6628	0420019621 1        draw to gamma
//1 0434052131	0434052131 1        draw to 70
1 6868	5102004161 1        draw to eta Ser
0 2003	5351007601 0        move to kappa
1 1947	4771011881 1        draw to zeta
1 2060	0129018731 1        draw to alpha
1 2123	0721024681 1        draw to mu
1 2198	0742024721 1        draw to xi
1 2046	1321015151 1        draw to chi 2
1 2046	1320021181 1        draw to chi 1
1 2158	0729019801 1        draw to nu
1 2198	0742024721 1        draw to xi
0 2060	0129018731 0        move to alpha
//1 0126018991	0126018991 1        draw to 32
1 1789	0113018561 1        draw to gamma
1 1542	0096014621 1        draw to pi 3
//0 0126018991	0126018991 0        move to 32
1 1878	0705024001 1        draw to lambda
0 1542	0089025581 0        move to pi 5
1 1542	0092023451 1        draw to pi 4
1 1542	0096014621 1        draw to pi 3
1 1542	0683012171 1        draw to pi 2
1 1555	0696017901 1        draw to omicron 2
0 1789	0113018561 0        move to gamma
1 1850	4766024451 1        draw to delta
1 1787	4757015881 1        draw to eta
1 1712	5331017521 1        draw to beta
0 1947	4771011881 0        move to zeta
1 1902	4766024501 1        draw to epsilon
1 1850	4766024451 1        draw to delta
0 7789	8785018981 0        move to alpha
1 8180	9111014231 1        draw to gamma
1 7912	9112016051 1        draw to beta
1 7664	9098019181 1        draw to delta
1 7589	9315018931 1        draw to epsilon
1 6981	9299023611 1        draw to zeta
1 7106	9082018901 1        draw to kappa
1 7664	9098019181 1        draw to delta
1 7789	8785018981 1        draw to alpha
0 7106	9082018901 0        move to kappa
1 7073	9074022031 1        draw to lambda
1 6854	9068028231 1        draw to xi
1 6744	9059036551 1        draw to pi
1 7073	9074022031 1        draw to lambda
0 6581	9062036151 0        move to eta
1 6744	9059036551 1        draw to pi
0 8307	1125021861 0        move to epsilon
1 8633	1155021871 1        draw to zeta
1 8664	1155021861 1        draw to xi
1 8780	1711024751 1        draw to alpha
1 38	1179017751 1        draw to gamma
1 14	1735031801 1        draw to alpha And
1 8774	2243018311 1        draw to beta
1 8780	1711024751 1        draw to alpha
1 8666	2221016661 1        draw to lambda
1 8683	2225018211 1        draw to mu
1 8649	2736018231 1        draw to eta
1 8448	2724023541 1        draw to pi
0 8666	2221016661 0        move to lambda
1 8429	2208024711 1        draw to iota
1 8314	2193020171 1        draw to kappa
//1 1671009861	1671009861 1        draw to 1
//0 1670009181	1670009181 0        move to 9
1 8429	2208024711 1        draw to iota
1 8664	1155021861 1        draw to xi
0 8449	0565019991 0        move to theta
1 8633	1155021871 1        draw to zeta
0 1260	3335020971 0        move to lambda
1 1302	3332024261 1        draw to mu
//1 3332024271	3332024271 1        draw to 48
1 1121	3317030341 1        draw to delta
1 1051	3316023081 1        draw to sigma
1 1016	3320028081 1        draw to alpha
1 914	3701013931 1        draw to gamma
1 833	3704013321 1        draw to eta
1 853	3701013941 1        draw to tau
1 914	3701013931 1        draw to gamma
0 853	3701013941 0        move to tau
1 936	3318018401 1        draw to iota
1 940	2859022741 1        draw to kappa
1 935	2851021681 1        draw to beta
1 920	2847015721 1        draw to rho
//1 2846014291	2846014291 1        draw to 16
0 935	2851021681 0        move to beta
1 1219	2868016231 1        draw to epsilon
0 1130	2359012581 0        move to omicron
1 1202	2361028201 1        draw to zeta
1 1227	2369022731 1        draw to xi
1 1219	2868016231 1        draw to epsilon
1 1134	2871025731 1        draw to nu
1 1051	3316023081 1        draw to sigma
0 936	3318018401 0        move to iota
1 798	3304027371 1        draw to theta
//1 3282022711	3282022711 1        draw to 51 And
0 321	8032012281 0        move to beta
1 439	8043011791 1        draw to delta
1 554	8041011991 1        draw to psi
1 321	8032012281 1        draw to beta
1 428	7547011341 1        draw to gamma
1 99	7530009781 1        draw to kappa
1 98	7527010311 1        draw to alpha
1 24	8022012401 1        draw to epsilon
1 99	7530009781 1        draw to kappa
1 337	8476013021 1        draw to zeta
1 321	8032012281 1        draw to beta
1 99	7530009781 1        draw to kappa
0 2549	8899022021 0        move to alpha
1 2041	8524012801 1        draw to gamma
1 2019	8099013921 1        draw to beta
0 351	2278012601 0        move to tau
1 382	1751021781 1        draw to upsilon
1 359	1747022631 1        draw to phi
1 351	2278012601 1        draw to tau
0 359	1747022631 0        move to phi
1 436	1198015971 1        draw to eta
1 509	0622005741 1        draw to omicron
1 594	0040013381 1        draw to alpha
1 293	0612014461 1        draw to epsilon
1 223	0604013011 1        draw to delta
1 9071	0593016971 1        draw to omega
1 8968	0591017441 1        draw to iota
1 8915	0584015151 1        draw to theta
1 8851	0580018841 1        draw to gamma
1 8910	0578014151 1        draw to kappa
1 8983	0586014581 1        draw to lambda
1 8968	0591017441 1        draw to iota
0 8727	6977012671 0        move to alpha
1 8627	6966015091 1        draw to epsilon
1 8304	7490018391 1        draw to iota
1 8575	7497015111 1        draw to beta
1 8694	7508013131 1        draw to gamma
1 8719	7508013121 1        draw to delta
1 8727	6977012671 1        draw to alpha
0 2325	8534022771 0        move to alpha Car
1 2450	7626022031 1        draw to nu
1 2772	7115030191 1        draw to pi
//1 6547026271	6547026271 1        draw to k
1 3044	6557045221 1        draw to xi
1 3184	6555032451 1        draw to rho
1 3164	7663040931 1        draw to zeta
1 3205	8140065331 1        draw to gamma Vel
0 3517	6580027811 0        move to gamma
1 3467	7141027251 1        draw to alpha
1 3437	7144036391 1        draw to beta
1 3164	7663040931 1        draw to zeta Pup
0 1174	8870013851 0        move to beta
1 1335	8869024611 1        draw to alpha
1 1354	8508020411 1        draw to epsilon
1 1246	8868013181 1        draw to delta
1 1174	8870013851 1        draw to beta
0 7634	1624034141 0        move to gamma
1 7535	1619035421 1        draw to delta
1 7487	1606023421 1        draw to beta
0 7535	1619035421 0        move to delta
1 7478	1606023411 1        draw to alpha
0 7336	7943021051 0        move to beta 1
1 7347	7935021391 1        draw to alpha
1 7193	6885028371 1        draw to zeta
1 7038	6867024281 1        draw to phi
1 7120	6868018291 1        draw to sigma
1 7263	6295002821 1        draw to pi
1 7339	6301024571 1        draw to rho 1
0 7580	7942032411 0        move to iota
1 7622	7448013571 1        draw to theta 1
1 7233	6881017771 1        draw to tau
1 7193	6885028371 1        draw to zeta
0 7347	7935021391 0        move to alpha
1 7622	7448013571 1        draw to theta 1
